time(sec),x,z
12.40086,4.016814,-1.593707
12.56818,3.116628,-1.450161
12.65537,2.706741,-1.353349
12.74005,2.207046,-1.370798
12.76239,2.107107,-1.374288
12.82569,1.80729,-1.384758
12.90871,1.407533,-1.398718
12.99484,1.015018,-1.215152
13.07553,0.6739618,-0.9033802
13.16172,0.2144082,-0.701994
13.24016,-0.1474899,-0.528165
13.32033,-0.5332981,-0.4176648
13.40283,-0.9749227,-0.5357382
13.47584,-1.273769,-0.5055
13.55511,-1.676442,-0.5028857
13.63344,-2.081213,-0.6465314
13.71384,-2.476164,-0.7402713
13.79219,-2.846769,-0.9544514
13.87183,-3.187016,-1.213006
13.95049,-3.545606,-1.394849
14.02624,-3.915523,-1.547002
14.10623,-4.286076,-1.69751
14.18894,-4.65395,-1.854685
14.27554,-5.010504,-2.038171
14.35739,-5.376429,-2.199674
time(sec),x,z
0,0,0
0,0,0
0.0199995,0,0
time(sec),x,z
0,0,0
0.02,0,0
0.2173614,0,0
0.2375402,0,0
0.261265,0,0
0.2781204,0,0
0.2953074,0,0
0.3279418,0,0
0.4129074,0,0
0.4844986,0,0
0.5550781,0,0
0.626343,0,0
0.6952637,0,0
0.7665337,0,0
0.8408751,0,0
0.9102021,0,0
0.9801242,0,0
1.051526,0,0
1.122512,0,0
1.19049,0,0
1.261348,0,0
1.330754,0,0
1.399008,0,0
1.468967,0,0
1.536925,0,0
1.60793,0,0
1.682404,0,0
1.821839,0,0
1.963764,0,0
1.983776,0,0
2.034221,0,0
2.051589,0,0
2.105641,0,0
2.176482,0,0
2.246661,0,0
2.313763,0,0
2.38456,0,0
2.455728,0,0
2.526354,0,0
2.599634,0,0
2.668033,0,0
2.737648,0,0
2.810045,0,0
2.87867,0,0
2.950307,0,0
3.02396,0,0
3.162214,0,0
time(sec),x,z
0,0,0
0.02,0,0
0.2378256,0,0
0.2593159,0,0
0.2825898,0,0
0.2994414,0,0
0.3162913,0,0
0.3647734,0,0
0.4546921,0,0
0.5366389,0,0
0.6043646,0,0
0.6725386,0,0
0.7399728,0,0
0.8116472,0,0
0.8811862,0,0
0.9500984,0,0
1.019249,0,0
1.086699,0,0
1.154045,0,0
1.222422,0,0
1.289483,0,0
1.357364,0,0
1.426857,0,0
1.493855,0,0
1.562022,0,0
1.629654,0,0
1.698939,0,0
1.770589,0,0
1.904512,-0.2090425,-0.01590145
2.035349,-0.2090425,-0.01590145
2.052972,-0.2090425,-0.01590145
2.102925,-0.2090425,-0.01590145
2.120828,-0.2090425,-0.01590145
2.172747,-0.2090425,-0.01590145
2.240012,-0.2090425,-0.01590145
2.312891,-0.1756033,-0.01120186
2.38268,-0.1540501,-0.008612752
2.452304,-0.09880947,-0.00353682
2.521947,-0.01447199,-7.581711E-05
2.592803,-0.03376526,-0.0004125834
2.663656,-0.07232828,-0.001893997
2.734807,-0.1252542,-0.005687714
2.803682,-0.1300577,-0.006133318
2.87072,-0.1300577,-0.006133318
2.936901,-0.1300577,-0.006133318
3.002405,-0.1228519,-0.00547123
3.064991,-0.1204492,-0.005258918
3.130043,-0.113239,-0.004647136
3.193838,-0.1060257,-0.004073143
3.257672,-0.1060257,-0.004073143
3.323953,-0.1060257,-0.004073143
3.450439,-0.1060257,-0.004073143
time(sec),x,z
0,0,0
0.02,0,0
0.2458913,0,0
0.2642943,0,0
0.2855427,0,0
0.3027237,0,0
0.3192434,0,0
0.3881846,0,0
0.4781216,0,0
0.5590547,0,0.3999956
0.6954378,0,1.09976
0.7616457,0,1.499604
0.8345558,0,1.799604
0.8514053,0,1.899604
0.9031096,0,2.199604
0.9762462,0,2.499604
1.051713,-1.791815E-08,2.879545
1.119606,-4.172258E-08,3.165589
1.1894,-4.172258E-08,3.56559
1.261884,-4.17226E-08,3.96559
1.332354,-4.172262E-08,4.26559
1.40927,-0.2920509,4.634378
1.545294,-1.072691,4.994771
